EVA Word,Morpheme Breakdown,POS,Meaning,Semantic Domain,Confidence
dytorar,dy + tor + ar,Noun,simulated meaning for dytorar,Repetition / Emphasis,B
okchory,ok + chor + y,Noun,simulated meaning for okchory,Connective,C
dykaiiny,dy + kaiin + y,Function word,simulated meaning for dykaiiny,Connective,A
okechoral,oke + chor + al,Noun,simulated meaning for okechoral,Initiation,C
otaiinain,ot + aiin + ain,Verb,simulated meaning for otaiinain,Container / Tool,C
qotchedor,qot + ched + or,Function word,simulated meaning for qotchedor,Flow / Discharge,B
olchededy,ol + ched + edy,Function word,simulated meaning for olchededy,Repetition / Emphasis,B
lchkeeddy,lch + keed + dy,Verb,simulated meaning for lchkeeddy,Initiation,A
chechedal,che + ched + al,Verb,simulated meaning for chechedal,Initiation,A
ottory,ot + tor + y,Function word,simulated meaning for ottory,Finalization,C
okechorin,oke + chor + in,Noun,simulated meaning for okechorin,Flow / Discharge,C
oltorin,ol + tor + in,Noun,simulated meaning for oltorin,Collection,A
otchedol,ot + ched + ol,Noun,simulated meaning for otchedol,Collection,A
okedyain,ok + edy + ain,Verb,simulated meaning for okedyain,Collection,C
okechedar,oke + ched + ar,Verb,simulated meaning for okechedar,Repetition / Emphasis,A
dykeedain,dy + keed + ain,Verb,simulated meaning for dykeedain,Collection,A
lchkaiindy,lch + kaiin + dy,Function word,simulated meaning for lchkaiindy,Connective,B
lchdalar,lch + dal + ar,Verb,simulated meaning for lchdalar,Transformation,C
oktory,ok + tor + y,Verb,simulated meaning for oktory,Result,C
lchkeeddy,lch + keed + dy,Noun,simulated meaning for lchkeeddy,Collection,C
otdalain,ot + dal + ain,Function word,simulated meaning for otdalain,Transformation,C
lchedyy,lch + edy + y,Verb,simulated meaning for lchedyy,Connective,B
qokeedy,qo + keed + y,Noun,simulated meaning for qokeedy,Result,A
otaiinedy,ot + aiin + edy,Function word,simulated meaning for otaiinedy,Collection,B
dykaiinedy,dy + kaiin + edy,Noun,simulated meaning for dykaiinedy,Repetition / Emphasis,C
okkaiinal,ok + kaiin + al,Noun,simulated meaning for okkaiinal,Finalization,C
okdaledy,ok + dal + edy,Function word,simulated meaning for okdaledy,Repetition / Emphasis,B
otchedal,ot + ched + al,Verb,simulated meaning for otchedal,Repetition / Emphasis,B
okekaiinain,oke + kaiin + ain,Verb,simulated meaning for okekaiinain,Connective,C
chechordy,che + chor + dy,Verb,simulated meaning for chechordy,Transformation,A
dycheddy,dy + ched + dy,Noun,simulated meaning for dycheddy,Flow / Discharge,C
